ØAÆ;10.45
ÆAZ;151.03
ZAU;25.04
UAB;105.21
BAS;30.005
SAY;41.815
YAC;4.7
CAD;13.38
DAØ;18.37

NBR;21.405
RBS;12.84
SBY;49.42
YBC;8.225
CBD;14.33
DBE;17.99
EBA;75.3
ABN;200.49

DCE;52.815
ECA;24.55
ACU;5.145
UCB;10.67
BCT;32.07
TCX;0.095
XCR;44.03
RCS;24.005
SCY;61.045
YCD;145.575

ÅDE;154.5
EDA;11.94
ADU;1.415
UDB;15.315
BDX;28.805
XDR;37.795
RDS;20.275
SDC;5.67
CDY;30.265
YDÅ;94.02

ØEÆ;87.825
ÆEU;27.605
UEA;1.37
AEB;26.56
BEX;31.935
XER;35.38
RES;17.285
SEC;42.79
CEY;0.505
YED;25.475
DEÅ;9.36
ÅEØ;93.91

LFP;45.4
PFK;19.53
KFJ;35.43
JFI;11.525
IFG;30.635
GFH;12.92
HFL;244.56

FGY;26.55
YGL;8.65
LGX;17.905
XGW;5.435
WGU;0.37
UGM;4.545
MGQ;13.18
QGK;22.05
KGJ;45.525
JGI;11.78
IGH;64.695
HGF;179.315

FHG;8.59
GHJ;91.37
JHI;0.51
IHF;299.53

HIG;43.36
GIF;12.57
FIK;67.06
KIU;0.72
UIJ;74.655
JIH;201.635

IJH;1.155
HJG;32.1
GJF;12.87
FJK;52.73
KJI;301.145

JKI;25.77
IKG;63.195
GKF;22.83
FKL;38.61
LKM;5.695
MKV;45.515
VKX;6.535
XKW;13.865
WKU;4.87
UKQ;4.36
QKP;41.845
PKJ;126.91

MLK;7.72
KLG;75.035
GLF;21.365
FLM;295.88

PMV;0.285
VMK;41.375
KML;186.55
LMP;171.79

RNY;35.065
YNC;11.875
CND;5.7
DNE;16.17
ENB;24.915
BNX;2.835
XNT;17.41
TNQ;79.975
QNR;206.055

KPV;41.175
VPM;0.2
MPQ;55.04
QPX;13.415
XPK;290.17

PQK;61.825
KQV;25.215
VQG;10.435
GQN;72.38
NQR;2.095
RQW;73.7
WQP;154.35

SRY;83.27
YRC;14.945
CRD;4.675
DRE;18.655
ERB;29.91
BRX;17
XRT;13.495
TRQ;50.41
QRN;3.97
NRS;163.67

CSD;0.995
DSE;15.725
ESA;20.715
ASB;4.705
BSX;15.975
XST;8.115
TSR;11.65
RSC;322.12

NTR;31.645
RTS;6.44
STY;54.46
YTX;10.3
XTC;0.855
CTW;92.05
WTP;127.81
PTN;76.44

IUK;0.375
KUG;22.295
GUW;2.895
WUC;68.195
CUD;9.665
DUA;3.295
AUE;2.135
EUØ;6.15
ØUÆ;3.21
ÆUZ;11.13
ZUI;270.655

QVP;57.825
PVK;87.37
KVQ;254.805

UWQ;162.74
QWK;7.25
KWG;26.805
GWT;6.2
TWU;197.005

TXK;45.86
KXN;34.08
NXG;1.135
GXR;34.17
RXS;11.71
SXY;61.055
YXC;12.8
CXD;10.815
DXE;21.22
EXT;167.155

DYE;23.065
EYC;0.98
CYA;18.295
AYB;12.31
BYX;27.585
XYT;1.505
TYR;40.435
RYG;24.53
GYD;251.295

AZØ;29.16
ØZÆ;2.545
ÆZU;215.94
UZA;152.355

ZÆU;4.705
UÆA;12.755
AÆE;150.215
EÆØ;24.585
ØÆZ;207.74

ÆØZ;5.11
ZØU;4.09
UØA;5.365
AØE;73.22
EØÅ;92.67
ÅØÆ;219.545

ØÅE;13.07
EÅD;35.99
DÅØ;350.94

